               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.9218,              6.0451,              2.8328,                   0,                   0,                   0,                   0,              4.0655,              5.2059,              2.5693,            0.070333,           0.0032963,           0.0032963
                   1,              3.8361,              5.8518,              2.5766,                   0,                   0,                   0,                   0,               3.248,                 inf,              2.6956,            0.040268,            0.006564,            0.006564
                   2,              3.3242,              5.0147,                 2.1,             0.13763,             0.14144,           0.0023002,          0.00083301,              2.6792,                 inf,              2.4834,            0.010136,           0.0097657,           0.0097657
                   3,              2.6099,              3.5411,              1.7155,             0.46416,            0.019873,            0.006688,            0.002783,              2.4041,              4.0152,              1.7566,            0.009703,            0.009703,            0.009703
                   4,              2.1917,              2.9708,              1.4925,             0.62064,             0.12342,            0.073085,            0.033479,              1.9716,              3.0562,              1.4722,            0.009703,            0.009703,            0.009703
                   5,              1.9749,              2.6893,              1.3818,             0.79187,            0.059789,             0.11242,            0.059407,              1.6787,              2.5354,              1.3257,            0.009604,            0.009604,            0.009604
                   6,              1.9002,              2.4455,               1.327,             0.72181,             0.17905,             0.19047,            0.099376,              1.5991,              1.9042,              1.2636,            0.009505,            0.009505,            0.009505
                   7,              1.8153,              2.1947,              1.2925,             0.80829,             0.18459,             0.19493,             0.09589,              1.6353,              2.0194,              1.2931,            0.009406,            0.009406,            0.009406
                   8,              1.7401,              1.9877,              1.2618,             0.55357,             0.23269,              0.2224,              0.1184,              1.5646,                1.86,              1.2644,            0.009307,            0.009307,            0.009307
                   9,              1.7319,              1.7955,              1.2649,             0.57836,              0.2205,             0.30247,             0.14556,              1.6891,              2.1875,              1.3092,            0.009208,            0.009208,            0.009208
                  10,              1.6777,               1.622,              1.2265,             0.53101,              0.5034,             0.47117,             0.24255,              1.5445,              1.2288,              1.2626,            0.009109,            0.009109,            0.009109
                  11,              1.6558,              1.4752,              1.2305,              0.5657,              0.5357,             0.53694,             0.27628,              1.4914,              1.1453,              1.2267,             0.00901,             0.00901,             0.00901
                  12,              1.6392,              1.4116,              1.2215,              0.6254,             0.60996,             0.64415,             0.31653,              1.5022,              0.9976,              1.2122,            0.008911,            0.008911,            0.008911
                  13,              1.6188,              1.2697,              1.2083,             0.69241,             0.67513,             0.70545,             0.34564,              1.5714,             0.99955,              1.2301,            0.008812,            0.008812,            0.008812
                  14,               1.606,              1.2299,              1.2118,             0.73713,             0.74425,             0.79601,             0.42624,              1.4161,             0.91352,              1.1911,            0.008713,            0.008713,            0.008713
                  15,              1.5569,               1.159,              1.1839,             0.81968,             0.83493,             0.84363,             0.46165,              1.3992,             0.81226,              1.1738,            0.008614,            0.008614,            0.008614
